date,TAMSAT,CHIRPS,TAMSAT_cumulative,CHIRPS_cumulative
2012-02-01,0.8133333333333332,0.39866666666666667,-1.2284178383003885,-1.234279713459561
2012-02-16,6.255714285714285,6.115,-0.561291823182684,-0.592444904992723
2012-03-01,4.323333333333333,2.908,-0.5672008030050986,-1.0031553070602535
2012-03-16,4.71125,2.8575,-0.4380010758898359,-1.4304399321187367
2012-04-01,9.816,7.974,1.4691479661301103,-0.17847679612355738
2012-04-16,11.282,11.600666666666665,3.8868947251098023,2.2637671724892217
2012-05-01,10.308666666666666,10.712666666666667,5.965636178604624,4.414567378409604
2012-05-16,8.244375,5.048125,7.32539904264581,4.706251213540348
2012-06-01,2.552,1.8766666666666667,6.702546845923875,3.9570546996971876
2012-06-16,3.8280000000000003,4.4639999999999995,6.524116672967722,4.057027287212281
2012-07-01,1.4066666666666667,0.5813333333333333,5.502352753764274,2.8826992186308864
2012-07-16,2.16,1.769375,4.742969653189528,2.0982893184826903
2012-08-01,2.722,1.7226666666666666,4.179327287220087,1.2985496295780106
2012-08-16,4.05875,2.50625,4.081265752182393,0.7559838990626527
2012-09-01,3.322,3.9099999999999997,3.7265992594570503,0.6741323373304627
2012-09-16,2.2546666666666666,1.3806666666666667,3.0001879077719287,-0.23785258450304592
2012-10-01,4.826666666666667,5.974666666666667,3.169586466059841,0.35792448218695294
2012-10-16,6.44125,7.55375,3.901333294362254,1.4719605446782131
2012-11-01,5.656666666666666,5.362,4.3598151439711685,1.866658919240349
2012-11-16,4.924,4.026666666666666,4.563114232807568,1.823097641645674
2012-12-01,4.6033333333333335,4.478,4.654727327165732,1.9276650632572698
2012-12-16,4.948125,6.34375,4.866428987572155,2.644576178836592
2013-01-01,2.612,2.638,4.264474378174629,2.1452511191936705
2013-01-16,2.63,2.350625,3.6687890449744267,1.5516088846591636
2013-02-01,2.271333333333333,1.7826666666666668,2.9481825786571965,0.7715613418823485
2013-02-16,1.4915384615384615,0.7038461538461539,1.9559789218656283,-0.36255772063112446
2013-03-01,5.015333333333333,3.8533333333333335,2.1910887825180736,-0.46300742037296433
2013-03-16,7.300625,9.592500000000001,3.2221500126023974,1.3201513574213657
2013-04-01,9.343333333333334,9.715333333333335,4.964672505588937,3.143624334371908
2013-04-16,9.443333333333333,7.214,6.742024310782827,4.146153619414134
2013-05-01,6.040000000000001,6.400666666666667,7.334018523853249,4.881744923611972
2013-05-16,2.134375,1.2893750000000002,6.5657104120253695,3.939797854440858
2013-06-01,1.4973333333333334,0.932,5.575525069223253,2.88055943989565
2013-06-16,1.3773333333333333,1.076,4.5435445517723165,1.8685821760573174
2013-07-01,1.0286666666666666,0.5506666666666666,3.3901258324250874,0.684189232788347
2013-07-16,1.98,1.840625,2.5680499698771118,-0.07683624383300991
2013-08-01,3.277333333333333,2.506666666666667,2.1978263843658192,-0.6192652233335909
2013-08-16,3.0793749999999998,2.753125,1.758655272897394,-1.0808059775936723
2013-09-01,2.2680000000000002,1.748,1.0368878295065858,-1.8722312047999203
2013-09-16,3.854,4.6593333333333335,0.8675132777243434,-1.7081497415574443
2013-10-01,4.294666666666667,3.631333333333333,0.8516198950691554,-1.8814603819723836
2013-10-16,4.33625,3.044375,0.8502097014068567,-2.2474121769034547
2013-11-01,6.740666666666667,5.54,1.686241295343442,-1.7942937688286535
2013-11-16,5.378,5.230666666666666,2.047665461601209,-1.4426993141241773
2013-12-01,3.888,5.299333333333334,1.8901328759694656,-1.0685682921844777
2013-12-16,3.548125,2.79125,1.6142241654729923,-1.5175963285924783
2014-01-01,2.868,1.842,1.101432595326282,-2.278170526865072
2014-01-16,2.5324999999999998,2.69125,0.4717886827239134,-2.7600188068195135
2014-02-01,2.7666666666666666,2.2479999999999998,-0.07629659045957793,-3.3873428162935557
2014-02-16,3.486923076923077,2.6084615384615386,-0.37352150982141474,-3.8963624709532723
2014-03-01,4.959333333333333,5.809333333333333,-0.1579160640050853,-3.354848206926723
2014-03-16,5.3375,4.2375,0.189402230808705,-3.329213471044318
2014-04-01,7.994666666666666,6.069333333333334,1.462193399825455,-2.7023665737970215
2014-04-16,5.839333333333333,3.969333333333333,1.9842967930664617,-2.76474479102499
2014-05-01,8.722666666666667,7.487333333333334,3.5106453549527177,-1.6725068402891574
2014-05-16,4.091875,2.145,3.4241210295837083,-2.3336357006160338
2014-06-01,4.180666666666666,3.48,3.3685222310121414,-2.556614309597921
2014-06-16,1.6846666666666665,0.9466666666666668,2.4435837997451264,-3.6110390884229844
2014-07-01,1.1273333333333333,0.7193333333333333,1.324530001775816,-4.740075220910291
2014-07-16,2.02375,2.074375,0.5176919633185559,-5.424383378241842
2014-08-01,3.771333333333333,3.2013333333333334,0.31952518011157105,-5.738821065906478
2014-08-16,3.948125,5.588125,0.18293371844449657,-5.269907915624953
2014-09-01,2.8333333333333335,3.5513333333333335,-0.3419320132674283,-5.469474750877045
2014-09-16,3.4193333333333333,3.997333333333333,-0.662697975444284,-5.5226632999120095
2014-10-01,4.018666666666666,3.5439999999999996,-0.7747202597917573,-5.7246369530241745
2014-10-16,6.385625,5.66125,-0.062347236404683204,-5.231723999649313
2014-11-01,4.097333333333333,3.19,-0.14697046181570805,-5.549881314915879
2014-11-16,8.644666666666666,6.676666666666667,1.3522112365488148,-4.723706138529863
2014-12-01,3.0606666666666666,3.2733333333333334,0.9065241412549315,-5.014513250841062
2014-12-16,3.51875,3.666875,0.6203843202975492,-5.176159029695537
2015-01-01,0.168,0.09533333333333333,-0.8327986794476026,-6.509993481912636
2015-01-16,1.2618749999999999,1.23125,-1.904992540284608,-7.471017317645119
2015-02-01,1.8253333333333333,0.9946666666666667,-2.780937739046618,-8.50968837956789
2015-02-16,2.6938461538461542,2.2399999999999998,-3.3543858959913586,-9.139638008525647
2015-03-01,2.086,1.6540000000000001,-4.139542687599543,-9.96191426466555
2015-03-16,7.2625,7.785,-3.1217601327942717,-8.771981388973145
2015-04-01,11.264666666666667,10.629999999999999,-0.7100504545971864,-6.648312584384489
2015-04-16,13.087333333333333,11.120666666666667,2.3364814874325255,-4.363605784794627
2015-05-01,7.312,8.889999999999999,3.3715045517804354,-2.811009217914047
2015-05-16,5.990625,4.910625,3.946301791948478,-2.5644532176596604
2015-06-01,4.104666666666667,4.4639999999999995,3.8642327160993255,-2.4644806301445663
2015-06-16,3.7993333333333337,2.9853333333333336,3.675818140310399,-2.8498100438695153
2015-07-01,0.19733333333333333,0.24933333333333335,2.2328517388127365,-4.133101321025095
2015-07-16,2.340625,1.4893750000000001,1.5363790834125157,-5.009407903103327
2015-08-01,1.5326666666666666,1.2733333333333334,0.5585000975903293,-5.956619886343349
2015-08-16,1.26875,0.928125,-0.5112992480324209,-7.017130085325982
2015-09-01,1.964,2.860666666666667,-1.3389478005335724,-7.443375402672161
2015-09-16,2.6406666666666667,2.860666666666667,-1.9309180070983243,-7.86962072001834
2015-10-01,4.599333333333333,4.026666666666666,-1.8406980852284538,-7.913181997613016
2015-10-16,8.0325,8.8725,-0.5547298264265894,-6.366328973353062
2015-11-01,9.136666666666667,10.127333333333333,1.1158120879980942,-4.407636592991183
2015-11-16,5.155333333333333,7.046666666666667,1.3996829857408288,-3.460026515483335
2015-12-01,4.738,5.986000000000001,1.5381995538715578,-2.860529821191406
2015-12-16,3.51125,4.326875,1.2494475344986244,-2.8055619926393693
2016-01-01,4.050666666666666,3.9833333333333334,1.148570630057503,-2.8633453757708356
2016-01-16,3.32875,3.368125,0.7962551159061563,-3.1230416322203034
2016-02-01,0.6993333333333334,0.8746666666666666,-0.4718681383106108,-4.201096986398804
2016-02-16,1.9985714285714287,2.1928571428571426,-1.2874757000200785,-4.846519015885598
2016-03-01,4.8886666666666665,4.738666666666666,-1.0964829681636095,-4.656400159429612
2016-03-16,5.891249999999999,4.461875,-0.5562973570016206,-4.55712500208988
2016-04-01,10.358,10.44,1.539626557182161,-2.495814660239462
2016-04-16,10.754666666666669,10.741999999999999,3.7737067431217635,-0.33538718287879155
2016-05-01,7.182666666666666,7.810666666666666,4.763683897014834,0.862969555323867
2016-05-16,2.403125,1.8375,4.088979561744207,0.10091844609168377
2016-06-01,1.5893333333333333,0.8206666666666667,3.130837186172852,-0.9948598396018954
2016-06-16,3.366,2.7353333333333336,2.791495590818743,-1.4622398621929475
2016-07-01,0.6053333333333334,0.3653333333333333,1.4906327831270672,-2.7074596568346556
2016-07-16,1.811875,1.21125,0.6100001394304848,-3.6750475412764265
2016-08-01,2.3126666666666664,1.9600000000000002,-0.09621021117437423,-4.39689385216422
2016-08-16,0.470625,0.15812500000000002,-1.443991004852034,-5.710119926454449
2016-09-01,1.6219999999999999,0.9673333333333335,-2.390755805102321,-6.757761854946581
2016-09-16,3.318,3.1766666666666667,-2.746815470315958,-7.080295202686006
2016-10-01,3.9086666666666665,3.3313333333333333,-2.897149998091516,-7.352066573740269
2016-10-16,3.16875,2.20625,-3.305192411774622,-7.993093034894951
2016-11-01,3.85,4.4446666666666665,-3.4759601360451584,-7.899465694465502
2016-11-16,5.266666666666667,4.346,-3.1533126040449075,-7.838220994335209
2016-12-01,3.3139999999999996,3.6266666666666665,-3.5107654417468384,-8.013063246115648
2016-12-16,1.955625,1.16125,-4.341330949145355,-8.997061252330639
2017-01-01,0.6306666666666666,0.38,-5.6333703310778365,-10.237467411252203
2017-01-16,1.6275,1.53125,-6.57821951915672,-11.100030516345361
2017-02-01,2.216666666666667,1.2746666666666668,-7.3178660094806345,-12.046804896338097
2017-02-16,6.556923076923076,7.946153846153846,-6.545831044076836,-10.803980935853541
2017-03-01,4.494,4.098,-6.492297997732041,-10.824130439718422
2017-03-16,5.450625,7.11625,-6.1055790434836865,-9.853682942742841
2017-04-01,7.5553333333333335,4.974,-4.985804652764559,-9.586327113140896
2017-04-16,10.825333333333333,11.730666666666668,-2.7271117528650968,-7.101416827917744
2017-05-01,8.996666666666666,10.893333333333334,-1.1053308755307027,-4.8913213819901245
2017-05-16,4.056875,3.361875,-1.2040454601722845,-5.153068903661245
2017-06-01,2.572666666666667,1.9706666666666668,-1.8196995990380342,-5.87141438857075
2017-06-16,2.1013333333333333,1.2653333333333334,-2.599515896107759,-6.821251991294488
2017-07-01,3.4033333333333333,2.9099999999999997,-2.9258545482377905,-7.231305988491089
2017-07-16,2.24875,2.090625,-3.654326634228514,-7.9102808562463425
2017-08-01,2.038666666666667,1.6320000000000001,-4.455969300281511,-8.739777565966463
2017-08-16,3.87875,2.549375,-4.6167235972924345,-9.268189566452419
